ActivityEventGameSystem (verbosity: default, color: 80FF80FF)
AnimResource (verbosity: default, color: 00000000)
Animation 2 (verbosity: default, color: 00000000)
AnimationGraph (verbosity: default, color: E1F20DFF)
AnimationSystem (verbosity: default, color: 00000000)
AnimationSystem: IK (verbosity: default, color: 00000000)
Animgraph (verbosity: off, console only, color: 00000000)
Assert (verbosity: default, color: 00000000)
AssetBrowser (verbosity: default, color: 00000000)
AssetFileHelper (verbosity: default, color: 00000000)
AssetListModel (verbosity: default, color: 00000000)
AssetSystem (verbosity: default, color: 00000000)
AssetThumbnail (verbosity: default, color: 00000000)
AssetThumbnailWebClient (verbosity: default, color: 00000000)
BaseEditor (verbosity: default, color: 00000000)
BitBuf Error (verbosity: default, color: FF09ABFF)
BodyGameSystem (verbosity: default, color: 00000000)
BoneSetup (verbosity: default, color: 00000000)
Bots (verbosity: default, color: 00E897FF)
Breakables (verbosity: default, color: 00000000)
Bug Reporter (verbosity: default, color: 00FFFFFF)
BuildCubemaps (verbosity: default, color: FF6400FF)
BuildSparseShadowTree (verbosity: default, color: FF6400FF)
CL CommandQueue (verbosity: default, color: 68FFC8FF)
CharacterDecalRenderer (verbosity: default, color: 00000000)
Client (verbosity: default, color: B4FF00FF)
ClientMessages (verbosity: default, color: 49D5E4FF)
Combat Analyzer (verbosity: default, color: FF6600FF)
Command Queue Events (verbosity: default, color: FF7DCDFF)
Command Queue SAMPLES (verbosity: default, color: FF7DCDFF)
CommandLine (verbosity: default, color: C5BDA9FF)
Console (verbosity: default, console only, color: 00000000, tags: Console)
CustomGameCache (verbosity: default, color: 00000000)
CustomNetTable (verbosity: default, color: 00000000)
CustomUI (verbosity: default, color: 00000000)
D3D (verbosity: default, color: 00000000)
DOTAHLTVCamera (verbosity: essential, color: 6666FFFF)
DOTAHLTVDirector (verbosity: essential, color: CC66FFFF)
DOTA_CHAT (verbosity: off, color: 00000000, tags: Chat, DotA)
Decals (verbosity: default, color: 80FF80FF)
DeformableSurfaceBuilderSystem (verbosity: default, color: 00000000, tags: DeformableSurfaceBuilder)
Demo (verbosity: default, color: FB5580FF)
DemoFile (verbosity: default, color: FB5564FF)
Destructible Parts (verbosity: default, color: 00000000)
Developer (verbosity: essential, console only, color: 00000000, tags: Developer)
DeveloperConsole (verbosity: essential, console only, color: 00000000, tags: Console, DeveloperVerbose)
